条件①,条件②,条件③,編成ボーナス名,攻撃,防御,体力,無双,気力,速度
典韋,許褚,-,覇道の守護者,0,100,50,0,0,0
曹丕,甄姫,-,鳳凰于飛,100,0,0,0,50,0
曹丕,曹休,-,兄弟の如く,0,50,0,0,100,0
曹操,荀彧,-,我が子房,100,0,0,50,0,0
夏侯惇,曹操,-,共に立つ者,100,0,50,0,0,0
夏侯淵,張郃,-,華麗なる武,0,0,100,50,0,0
荀彧,荀攸,-,荀一族,50,0,0,0,100,0
楽進,李典,-,一番槍の予感,0,0,100,50,0,0
賈詡,郭嘉,-,軽妙酒脱,0,50,0,100,0,0
蔡文姫,于禁,-,詩興、胸中に満ち,0,50,0,0,100,0
曹仁,満寵,-,不破の城,50,0,100,0,0,0
龐徳,于禁,-,正道を往く,0,100,50,0,0,0
周瑜,孫策,-,断金の交わり,100,0,0,0,50,0
甘寧,凌統,-,因果は巡る,100,0,0,0,50,0
小喬,大喬,-,二喬,0,50,100,0,0,0
陸遜,朱然,-,火計に命を,0,50,0,100,0,0
孫尚香,練師,-,美麗の主従,0,0,50,0,100,0
孫堅,黄蓋,-,旧知の仲,100,0,0,0,50,0
韓当,程普,-,臣下の矜持,0,50,0,100,0,0
周泰,孫権,-,守るべき主,0,0,100,0,50,0
呂蒙,魯粛,-,刮目の子弟,0,100,50,0,0,0
丁奉,徐盛,-,故郷を想う,0,100,50,0,0,0
太史慈,孫策,-,信義の絆,50,100,0,0,0,0
諸葛亮,劉備,-,水魚の交わり,0,50,0,0,100,0
馬超,馬岱,-,馬一族,0,50,0,0,100,0
劉禅,星彩,-,蜀を担う,0,50,100,0,0,0
関平,周倉,-,軍神に焦がれる,100,50,0,0,0,0
関索,鮑三娘,-,出会いに花咲く,0,0,50,100,0,0
関興,張苞,-,義兄弟の契り,100,0,0,50,0,0
黄忠,魏延,-,元劉表軍,0,0,0,50,100,0
諸葛亮,月英,-,臥龍とその伴侶,0,0,0,100,50,0
張飛,夏侯姫,-,愛縁機縁,0,0,50,100,0,0
姜維,劉禅,-,仁徳の継承者,100,0,0,0,50,0
関羽,関銀屏,-,父娘の絆,100,50,0,0,0,0
龐統,徐庶,-,同門のよしみ,50,0,100,0,0,0
劉備,法正,-,恩義に報いる,0,50,100,0,0,0
司馬懿,張春華,-,恐るべき好配,0,100,0,50,0,0
司馬師,司馬昭,-,司馬兄弟,50,0,0,0,100,0
司馬昭,賈充,-,光と影,50,100,0,0,0,0
夏侯覇,郭淮,-,名将への思慕,0,0,100,0,50,0
司馬師,諸葛誕,-,信頼と尊敬,100,0,0,50,0,0
王元姫,辛憲英,-,活眼と慧眼,0,0,100,50,0,0
司馬懿,鄧艾,-,惹かれあう才,100,50,0,0,0,0
董卓,董白,-,董一族,0,0,50,100,0,0
貂蝉,呂布,-,鬼神と舞姫,50,0,0,100,0,0
袁紹,袁術,-,名門の威光,50,0,100,0,0,0
孟獲,祝融,-,南中の傑物,0,50,0,0,100,0
呂布,陳宮,-,運命を共に,100,50,0,0,0,0
呂布,呂玲綺,-,最強の系譜,100,0,0,50,0,0
董白,華雄,-,静かな酒宴,50,0,0,100,0,0
張角,左慈,-,幻惑の術師,50,0,100,0,0,0
姜維,鍾会,-,二心あり,50,0,0,0,100,0
