勢力,武将名,クラス,種類
魏,王異,迅,通常
魏,王異,攻,仙界
魏,王異,射,冥界
魏,王異,防,新将星
魏,夏侯惇,防,通常
魏,夏侯惇,攻,仙界
魏,夏侯惇,特,冥界
魏,夏侯惇,迅,『2』
魏,夏侯淵,射,通常
魏,夏侯淵,特,仙界
魏,夏侯淵,防,冥界
魏,夏侯淵,攻,『2』
魏,郭嘉,射,通常
魏,郭嘉,特,仙界
魏,郭嘉,迅,冥界
魏,郭嘉,攻,新将星
魏,楽進,迅,通常
魏,楽進,特,仙界
魏,楽進,射,冥界
魏,許褚,防,通常
魏,許褚,攻,仙界
魏,許褚,迅,冥界
魏,許褚,特,『2』
魏,徐晃,攻,通常
魏,徐晃,迅,仙界
魏,徐晃,射,冥界
魏,徐晃,防,『2』
魏,曹休,迅,通常
魏,曹休,特,仙界
魏,曹休,防,冥界
魏,曹仁,防,通常
魏,曹仁,特,仙界
魏,曹仁,攻,冥界
魏,曹操,攻,通常
魏,曹操,特,仙界
魏,曹操,射,冥界
魏,曹操,迅,『2』
魏,曹丕,迅,通常
魏,曹丕,射,仙界
魏,曹丕,攻,冥界
魏,曹丕,防,新将星
魏,張遼,攻,通常
魏,張遼,迅,仙界
魏,張遼,特,冥界
魏,張遼,防,『2』
魏,張郃,迅,通常
魏,張郃,射,仙界
魏,張郃,防,冥界
魏,張郃,攻,『2』
魏,典韋,防,通常
魏,典韋,特,仙界
魏,典韋,射,冥界
魏,典韋,攻,『2』
魏,満寵,特,通常
魏,満寵,射,仙界
魏,満寵,迅,冥界
魏,李典,攻,通常
魏,李典,防,仙界
魏,李典,特,冥界
魏,于禁,防,通常
魏,于禁,特,仙界
魏,于禁,迅,冥界
魏,甄姫,攻,通常
魏,甄姫,迅,仙界
魏,甄姫,防,冥界
魏,甄姫,射,『2』
魏,荀攸,迅,通常
魏,荀攸,防,仙界
魏,荀攸,射,冥界
魏,荀彧,特,通常
魏,荀彧,迅,仙界
魏,荀彧,攻,冥界
魏,荀彧,射,新将星
魏,蔡文姫,特,通常
魏,蔡文姫,防,仙界
魏,蔡文姫,攻,冥界
魏,蔡文姫,迅,新将星
魏,賈詡,攻,通常
魏,賈詡,防,仙界
魏,賈詡,射,冥界
魏,龐徳,防,通常
魏,龐徳,攻,仙界
魏,龐徳,射,冥界
呉,黄蓋,攻,通常
呉,黄蓋,特,仙界
呉,黄蓋,迅,冥界
呉,黄蓋,防,『2』
呉,甘寧,攻,通常
呉,甘寧,迅,仙界
呉,甘寧,射,冥界
呉,甘寧,特,『2』
呉,韓当,防,通常
呉,韓当,射,仙界
呉,韓当,迅,冥界
呉,朱然,射,通常
呉,朱然,攻,仙界
呉,朱然,防,冥界
呉,周泰,迅,通常
呉,周泰,防,仙界
呉,周泰,射,冥界
呉,周泰,特,新将星
呉,周瑜,迅,通常
呉,周瑜,特,仙界
呉,周瑜,攻,冥界
呉,周瑜,射,『2』
呉,徐盛,攻,通常
呉,徐盛,防,仙界
呉,徐盛,射,冥界
呉,小喬,迅,通常
呉,小喬,射,仙界
呉,小喬,防,冥界
呉,小喬,特,『2』
呉,孫堅,攻,通常
呉,孫堅,防,仙界
呉,孫堅,迅,冥界
呉,孫堅,射,『2』
呉,孫権,防,通常
呉,孫権,迅,仙界
呉,孫権,攻,冥界
呉,孫権,特,『2』
呉,孫策,攻,通常
呉,孫策,迅,仙界
呉,孫策,防,冥界
呉,孫策,射,『2』
呉,孫尚香,射,通常
呉,孫尚香,迅,仙界
呉,孫尚香,特,冥界
呉,孫尚香,攻,『2』
呉,太史慈,防,通常
呉,太史慈,攻,仙界
呉,太史慈,射,冥界
呉,太史慈,迅,『2』
呉,大喬,特,通常
呉,大喬,防,仙界
呉,大喬,攻,冥界
呉,大喬,射,『2』
呉,丁奉,防,通常
呉,丁奉,特,仙界
呉,丁奉,迅,冥界
呉,程普,攻,通常
呉,程普,特,仙界
呉,程普,射,冥界
呉,陸遜,迅,通常
呉,陸遜,特,仙界
呉,陸遜,射,冥界
呉,陸遜,防,『2』
呉,凌統,迅,通常
呉,凌統,攻,仙界
呉,凌統,特,冥界
呉,凌統,射,新将星
呉,練師,特,通常
呉,練師,迅,仙界
呉,練師,防,冥界
呉,練師,攻,新将星
呉,呂蒙,防,通常
呉,呂蒙,特,仙界
呉,呂蒙,射,冥界
呉,呂蒙,迅,『2』
呉,魯粛,防,通常
呉,魯粛,特,仙界
呉,魯粛,攻,冥界
呉,魯粛,迅,新将星
蜀,黄忠,射,通常
蜀,黄忠,防,仙界
蜀,黄忠,迅,冥界
蜀,黄忠,特,『2』
蜀,夏侯姫,特,通常
蜀,夏侯姫,防,仙界
蜀,夏侯姫,射,冥界
蜀,関羽,攻,通常
蜀,関羽,防,仙界
蜀,関羽,特,冥界
